Rank,Artist,Turnover,Sold lots,Highest price
1,Jean-Michel BASQUIAT (1960-1988),"$256,098,080",125.0,"$45,315,000"
2,Peter DOIG (b. 1959),"$100,958,125",45.0,"$21,127,500"
3,Rudolf STINGEL (b. 1956),"$52,389,232",27.0,"$7,938,905"
4,George CONDO (b. 1957),"$49,248,967",100.0,"$6,162,500"
5,CHEN Yifei (1946-2005),"$47,201,867",18.0,"$22,640,280"
6,Christopher WOOL (b. 1955),"$45,494,087",47.0,"$14,472,784"
7,ZHOU Chunya (b. 1955),"$43,642,957",60.0,"$6,743,740"
8,Jeff KOONS (b. 1955),"$40,792,093",149.0,"$22,812,500"
9,Mark BRADFORD (b. 1961),"$40,152,432",11.0,"$11,979,851"
10,Kerry James MARSHALL (b. 1955),"$38,601,625",14.0,"$21,114,500"
11,Yoshitomo NARA (b. 1959),"$35,070,152",339.0,"$2,932,574"
12,Damien HIRST (b. 1965),"$29,230,253",328.0,"$4,412,500"
13,Richard PRINCE (b. 1949),"$28,540,215",55.0,"$3,255,000"
14,Cecily BROWN (b. 1969),"$27,271,037",27.0,"$6,776,200"
15,Keith HARING (1958-1990),"$24,331,489",419.0,"$4,212,500"
16,ZHANG Xiaogang (b. 1958),"$22,445,666",29.0,"$6,211,340"
17,ZENG Fanzhi (b. 1964),"$20,282,825",32.0,"$3,134,808"
18,Antony GORMLEY (b. 1950),"$19,467,079",71.0,"$6,911,977"
19,Takashi MURAKAMI (b. 1962),"$18,363,658",457.0,"$8,826,036"
20,Martin KIPPENBERGER (1953-1997),"$18,199,379",34.0,"$11,096,876"
21,LIU Wei (b. 1965),"$16,769,392",24.0,"$4,534,985"
22,KAWS (b. 1974),"$15,316,727",363.0,"$1,259,927"
23,Anselm KIEFER (b. 1945),"$15,211,978",43.0,"$2,595,457"
24,Mark TANSEY (b. 1949),"$15,073,311",10.0,"$7,453,600"
25,Jonas WOOD (b. 1977),"$14,116,103",36.0,"$2,292,500"
26,Albert OEHLEN (b. 1954),"$13,670,448",30.0,"$2,678,011"
27,QIU Hanqiao (b. 1958),"$13,577,606",14.0,"$5,751,438"
28,Hurvin ANDERSON (b. 1965),"$12,502,579",17.0,"$3,456,804"
29,Marlene DUMAS (b. 1953),"$12,339,092",65.0,"$3,615,000"
30,Adrian GHENIE (b. 1977),"$11,228,881",19.0,"$3,143,587"
31,Anish KAPOOR (b. 1954),"$11,200,128",53.0,"$1,515,000"
32,Günther FRÖG (1952-2013),"$10,838,045",192.0,"$727,956"
33,Wolfgang TILLMANS (b. 1968),"$10,215,274",81.0,"$720,597"
34,BANKSY (b. 1974),"$9,898,703",478.0,"$928,765"
35,Mark GROTJAHN (b. 1968),"$9,744,810",18.0,"$1,815,000"
36,Thomas SCHTTE (b. 1954),"$8,883,570",19.0,"$3,511,715"
37,Andreas GURSKY (b. 1955),"$8,271,034",33.0,"$2,204,263"
38,Sean SCULLY (b. 1945),"$7,427,785",49.0,"$1,588,365"
39,Robert GOBER (b. 1954),"$7,416,750",5.0,"$7,287,500"
40,YUE Minjun (b. 1962),"$7,199,870",49.0,"$2,484,536"
41,AI Xuan (b. 1947),"$7,165,019",25.0,"$3,762,296"
42,Cindy SHERMAN (b. 1954),"$6,836,921",71.0,"$1,252,084"
43,REN Zhong (b. 1976),"$6,827,821",20.0,"$2,760,406"
44,Felix GONZALEZ-TORRES (1957-1996),"$6,569,975",6.0,"$5,195,600"
45,LIU Ye (b. 1964),"$6,536,478",29.0,"$1,774,669"
46,LIU Guang (b. 1969),"$6,119,355",42.0,"$1,268,294"
47,Robert COMBAS (b. 1957),"$5,837,186",244.0,"$220,338"
48,Tony CRAGG (b. 1949),"$5,505,931",44.0,"$780,147"
49,WANG Mingming (b. 1952),"$5,438,533",57.0,"$1,395,847"
50,Robert LONGO (b. 1953),"$5,038,834",100.0,"$555,000"
51,Robert MAPPLETHORPE (1946-1989),"$4,628,828",115.0,"$726,435"
52,LUO Zhongli (b. 1948),"$4,568,456",20.0,"$712,248"
53,Joe BRADLEY (b. 1975),"$4,482,086",15.0,"$975,000"
54,Barkley Leonnard HENDRICKS (1945-2017),"$4,433,750",5.0,"$2,175,000"
55,William KENTRIDGE (b. 1955),"$4,419,247",151.0,"$384,261"
56,Wade GUYTON (b. 1972),"$4,375,687",21.0,"$1,092,500"
57,Peter HALLEY (b. 1953),"$4,260,888",37.0,"$712,192"
58,JI Zhongliang (b. 1964),"$4,180,901",16.0,"$633,960"
59,Laura OWENS (b. 1970),"$4,167,625",20.0,"$1,755,000"
60,Julian SCHNABEL (b. 1951),"$4,149,561",34.0,"$1,452,500"
61,AI Weiwei (b. 1957),"$3,702,757",46.0,"$1,029,700"
62,Sherrie LEVINE (b. 1947),"$3,673,307",24.0,"$678,874"
63,Mike KELLEY (1954-2012),"$3,613,359",18.0,"$2,344,822"
64,HE Jiaying (b. 1957),"$3,493,820",25.0,"$589,237"
